2019-12-21 15:33:29.6917	INFO	No Color Found	CIDER.ColorWriter.GetSetTheming	MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => ColorWriterUnitTests.ColorWriter_GetSetThemeingWithoutThemeing_ThrowsError => Assert.Throws => Assert.Throws => <>c__DisplayClass1_0.<ColorWriter_GetSetThemeingWithoutThemeing_ThrowsError>b__0 => ColorWriter.GetSetTheming	"CIDER.ColorWriterNoColorException: Eine Ausnahme vom Typ ""CIDER.ColorWriterNoColorException"" wurde ausgelöst.
   bei CIDER.ColorWriter.GetSetTheming() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\ColorWriter.cs:Zeile 63."	
2019-12-21 15:33:29.8795	DEBUG	Select Clicked	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClickedError_ReceivesSelectorError => DelegateCommand.Execute => LoadViewModel.OnSelectClick		
2019-12-21 15:33:29.8795	DEBUG	Getting folder name: return from path: return	CIDER.LoadIO.FolderChecker.GetFolderName	MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClickedError_ReceivesSelectorError => DelegateCommand.Execute => LoadViewModel.OnSelectClick => FolderChecker.IsCorrectFolder => FolderChecker.GetFolderName		
2019-12-21 15:33:29.8795	INFO	Folder return is invalid	CIDER.LoadIO.FolderChecker.IsCorrectFolder	TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClickedError_ReceivesSelectorError => DelegateCommand.Execute => LoadViewModel.OnSelectClick => FolderChecker.IsCorrectFolder		
2019-12-21 15:33:29.8795	DEBUG	Select Clicked	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClickedError_ReceivesSelectorError => DelegateCommand.Execute => LoadViewModel.OnSelectClick		
2019-12-21 15:33:29.8795	DEBUG	File Dialog Exited	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClickedError_ReceivesSelectorError => DelegateCommand.Execute => LoadViewModel.OnSelectClick	"CIDER.FileDialogExitedException: Eine Ausnahme vom Typ ""CIDER.FileDialogExitedException"" wurde ausgelöst.
   bei CIDER.UnitTests.FolderManager.SelectFolder() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER.UnitTests\LoadViewModelUnitTests.cs:Zeile 146.
   bei CIDER.ViewModels.LoadViewModel.OnSelectClick(Object sender) in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\ViewModels\LoadViewModel.cs:Zeile 74."	
2019-12-21 15:33:29.8795	DEBUG	Select Clicked	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClickekCorrectFolder_SetsCheckmark => DelegateCommand.Execute => LoadViewModel.OnSelectClick		
2019-12-21 15:33:29.8795	DEBUG	Select Clicked	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClickekWrongFolder_SetsBlocked => DelegateCommand.Execute => LoadViewModel.OnSelectClick		
2019-12-21 15:33:30.0520	ERROR	Couldn't configure License State	CIDER.ViewModels.MainWindowViewModel..ctor	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => MainWindowViewModelUnitTest.MainWindowViewModel_ButtonStatesLicenseNotAccepted_ChangeCorrectly => Factories.GetMainWindowViewModelStub => MainWindowViewModel..ctor	"System.InvalidOperationException: Beim aufrufenden Thread muss es sich um einen STA-Thread handeln, da dies für viele Komponenten der Benutzeroberfläche erforderlich ist.
   bei System.Windows.Input.InputManager..ctor()
   bei System.Windows.Input.InputManager.GetCurrentInputManagerImpl()
   bei System.Windows.Input.KeyboardNavigation..ctor()
   bei System.Windows.FrameworkElement.FrameworkServices..ctor()
   bei System.Windows.FrameworkElement.EnsureFrameworkServices()
   bei System.Windows.FrameworkElement..ctor()
   bei System.Windows.Controls.Control..ctor()
   bei System.Windows.Window..ctor()
   bei MahApps.Metro.Controls.MetroWindow..ctor() in C:\projects\mahapps-metro\src\MahApps.Metro\Controls\MetroWindow.cs:Zeile 951.
   bei CIDER.Licenses..ctor() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\Licenses.xaml.cs:Zeile 31.
   bei CIDER.ViewModels.MainWindowViewModel..ctor(IKeyManager Manager, DataProvider data, IReader reader, Boolean IsTesting) in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\ViewModels\MainWindowViewModel.cs:Zeile 114."	
2019-12-21 15:33:30.0520	WARN	Error whilst reading API Keys	CIDER.KeyManager.Fetch	TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => MainWindowViewModelUnitTest.MainWindowViewModel_MapState_ChangeCorrectly => Factories.GetMainWindowViewModelStub => MainWindowViewModel..ctor => KeyManager.Fetch	"System.ArgumentOutOfRangeException: Der Index und die Anzahl müssen sich auf eine Position in der Zeichenfolge beziehen.
Parametername: count
   bei System.String.Remove(Int32 startIndex, Int32 count)
   bei CIDER.KeyManager.Fetch() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\KeyManager.cs:Zeile 51."	
2019-12-21 15:33:30.0520	WARN	Error whilst reading API Keys	CIDER.KeyManager.Fetch	RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => MainWindowViewModelUnitTest.MainWindowViewModel_MapState_ChangeCorrectly => KeyManager.Put => KeyManager.RaiseEvent => EventHandler.Invoke => MainWindowViewModel.KeyManager_MapKeyChangedEvent => MainWindowViewModel.UpdateMapStatus => KeyManager.Fetch	"System.ArgumentOutOfRangeException: Der Index und die Anzahl müssen sich auf eine Position in der Zeichenfolge beziehen.
Parametername: count
   bei System.String.Remove(Int32 startIndex, Int32 count)
   bei CIDER.KeyManager.Fetch() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\KeyManager.cs:Zeile 51."	
